
Product name,Brand,Pack size,Category,Asda current price,Asda low price,Asda high price,Price checked date,Notes,Source / status
Heinz Baked Beans,Heinz,415g,Cupboard,1.00,1.00,1.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Danone Activia Yogurt,Activia,4 pack,Dairy,,,,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Yeo Valley Natural Yogurt,Yeo Valley,450g,Dairy,2.00,2.00,2.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Cravendale Semi Skimmed Milk,Cravendale,2L,Dairy,2.50,2.50,2.50,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Arla Lactofree Semi Skimmed Milk,Arla,1L,Dairy,1.48,1.48,1.48,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Birds Eye Garden Peas,Birds Eye,375g,Frozen,1.72,1.72,1.72,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Birds Eye Chicken Dippers,Birds Eye,220g,Frozen,2.00,2.00,2.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Birds Eye Potato Waffles,Birds Eye,10 pack,Frozen,3.00,3.00,3.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Ben & Jerry's Chocolate Fudge Brownie,Ben & Jerry's,465ml,Frozen,3.00,3.00,3.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Chicago Town Pepperoni Pizza,Chicago Town,2 pack,Frozen,1.55,1.55,1.55,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Dolmio Bolognese Sauce,Dolmio,450g,Cooking Sauces,2.47,2.47,2.47,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Dolmio Lasagne Sauce,Dolmio,470g,Cooking Sauces,,,,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Sharwood's Korma Sauce,Sharwood's,420g,Cooking Sauces,2.65,2.65,2.65,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Patak's Korma Curry Paste,Patak's,283g,Cooking Sauces,3.25,3.25,3.25,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Napolina Chopped Tomatoes,Napolina,400g,Cupboard,0.75,0.75,0.75,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Princes Tuna Chunks in Spring Water,Princes,4x145g,Cupboard,3.76,3.76,3.76,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Branston Original Pickle,Branston,360g,Condiments,1.75,1.75,1.75,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
